1,https://www.flipkart.com/
2,https://www.flipkart.com/travel/flights?param=TravelDT-HPW-BBDH-Qantus
3,https://www.flipkart.com/travel/flights?param=TravelDT-HPW-BBDH-Malaysia-Air
4,https://www.flipkart.com/travel/flights?param=TraTravel_DT-RHT-2025&ctx=eyJjYXJkQ29udGV4dCI6eyJhdHRyaWJ1dGVzIjp7InNvdXJjZUNvbnRlbnRUeXBlIjp7InNpbmdsZVZhbHVlQXR0cmlidXRlIjp7ImtleSI6InNvdXJjZUNvbnRlbnRUeXBlIiwiaW5mZXJlbmNlVHlwZSI6IlNDVCIsInZhbHVlIjoiSUFEIiwidmFsdWVUeXBlIjoiU0lOR0xFX1ZBTFVFRCJ9fX19fQ%3D%3D&nnc=1CQC2E08282T_IAD
5,https://advertising.flipkart.com/?otracker=ch_vn_advertise_header
6,https://www.flipkart.com/travel/flights?param=TravelDT-HPW-BBDH-Akasa-Air
7,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect
8,https://www.youtube.com/flipkart
9,https://corporate.flipkart.net/corporate-home
10,https://seller.flipkart.com/?utm_source=fkwebsite&utm_medium=websitedirect
11,https://www.shopsy.in/
12,https://www.myntra.com/
13,http://stories.flipkart.com/?otracker=footer_navlinks
14,https://www.facebook.com/flipkart
15,https://www.twitter.com/flipkart
16,http://stories.flipkart.com/category/top-stories/news/
17,https://www.flipkartcareers.com/?otracker=footer_navlinks
18,https://brands.flipkart.com
19,https://www.cleartrip.com/
20,https://www.youtube.com/about/
21,https://www.youtube.com/about/copyright/
22,https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen
23,https://www.youtube.com/about/press/
24,https://www.youtube.com/about/policies/
25,https://developers.google.com/youtube
26,https://www.youtube.com/creators/
27,https://www.youtube.com/ads/
28,https://www.facebook.com/shopsyapp/
29,https://www.flipkartcareers.com/
30,https://www.youtube.com/@Shopsy
31,https://twitter.com/shopsy_app?lang=en
32,https://seller.flipkart.com/index.html#signUp/accountCreation/new?utm_source=ShopsyApp&utm_medium=ConsumerShopsyPage&utm_campaign=acquisition
33,http://seller.shopsy.in/
34,https://www.instagram.com/shopsy_app
